temperature,humidity,rainfall,wind_speed,crop_type,soil_type,area_acres,days_since_last_irrigation,prev_water_litres,irrigation_needed,crop_stress,recommended_water_l_m2
35.4,84.2,2.5,13.3,Paddy,Sandy,2.46,1,252,1,Medium,23.4
33.0,39.3,60.0,13.2,Coconut,Sandy,3.74,2,104,0,Low,0.0
29.4,76.6,0.0,19.1,Banana,Silty,4.47,8,163,1,Medium,16.7
34.3,83.4,0.0,21.6,Pepper,Sandy,2.88,7,150,1,High,20.7
36.3,60.7,8.0,21.8,Rubber,Clay,4.09,0,61,0,Low,0.0
29.4,58.4,8.0,25.5,Paddy,Silty,0.6,8,402,0,Low,0.0
21.7,54.2,15.0,20.2,Pepper,Loam,5.18,4,68,0,Low,0.0
25.6,54.7,0.0,9.1,Banana,Clay,1.58,4,41,1,High,19.9
38.9,38.4,0.0,25.3,Rubber,Loam,1.61,8,73,1,High,17.3
36.5,85.3,15.0,20.8,Coconut,Clay,8.31,9,193,0,Low,0.0
21.5,40.1,0.0,18.0,Banana,Clay,8.86,0,326,1,Medium,19.9
34.3,57.6,35.0,15.6,Pepper,Chalky,7.2,9,345,0,Medium,0.0
26.3,61.1,8.0,4.3,Pepper,Chalky,1.03,7,316,0,Low,0.0
35.6,79.7,0.0,18.0,Vegetables,Clay,4.06,0,408,1,Medium,21.5
24.2,92.8,2.5,27.5,Banana,Peat,3.57,5,212,1,Medium,20.0
21.4,68.2,2.5,5.8,Tea,Clay,2.56,0,372,0,Medium,0.0
33.2,58.1,35.0,5.1,Pepper,Sandy,9.53,7,357,0,Medium,0.0
28.7,72.2,60.0,8.1,Pepper,Sandy,4.19,1,27,0,Low,0.0
21.5,93.5,60.0,14.9,Tea,Clay,3.16,4,211,0,Low,0.0
31.5,51.3,8.0,25.9,Banana,Chalky,9.52,4,302,0,Medium,0.0
37.5,40.0,15.0,24.8,Banana,Peat,0.75,0,373,0,Low,0.0
35.4,94.2,0.0,13.0,Coconut,Clay,9.71,0,460,1,Medium,14.3
20.7,43.0,8.0,5.4,Vegetables,Silty,8.22,4,357,0,Low,0.0
37.4,70.1,8.0,26.7,Coconut,Loam,2.85,8,365,0,Low,0.0
24.8,51.5,2.5,9.5,Paddy,Sandy,3.9,7,38,1,High,21.7
29.9,81.3,0.0,11.4,Paddy,Chalky,9.7,8,400,1,Medium,16.5
20.5,80.3,8.0,19.3,Rubber,Loam,9.08,1,293,0,Low,0.0
31.6,73.2,35.0,14.5,Tea,Sandy,3.81,5,480,0,Low,0.0
34.9,58.8,35.0,16.6,Paddy,Peat,8.07,9,183,0,Medium,0.0
36.0,81.1,2.5,15.0,Coconut,Chalky,5.18,2,110,1,Medium,14.5
22.4,44.1,15.0,20.7,Pepper,Silty,3.78,2,351,0,Low,0.0
29.0,75.1,0.0,18.4,Rubber,Loam,8.31,1,91,0,Medium,0.0
26.6,36.9,15.0,6.9,Paddy,Silty,2.46,1,432,0,Low,0.0
29.6,76.4,0.0,6.2,Tea,Clay,7.03,7,349,1,Medium,10.6
27.2,35.2,2.5,23.3,Paddy,Loam,2.25,7,213,1,High,16.9
34.4,66.9,0.0,21.9,Vegetables,Loam,2.9,6,2,1,High,21.6
29.7,66.9,8.0,24.8,Vegetables,Loam,4.27,8,118,0,Low,0.0
27.2,36.2,0.0,24.2,Vegetables,Sandy,5.59,8,144,1,High,18.4
29.0,56.3,0.0,16.0,Tea,Silty,5.6,1,110,1,Medium,13.0
28.2,42.7,0.0,12.1,Pepper,Sandy,6.27,7,314,1,High,16.9
31.5,49.2,15.0,9.4,Vegetables,Silty,8.58,7,310,0,Medium,0.0
36.0,38.1,35.0,13.8,Pepper,Chalky,4.28,3,334,0,Medium,0.0
35.5,50.5,60.0,21.3,Vegetables,Clay,7.33,7,25,0,Medium,0.0
25.3,81.2,15.0,27.2,Pepper,Loam,2.4,3,112,0,Low,0.0
30.1,77.4,15.0,10.9,Banana,Chalky,1.97,3,332,0,Low,0.0
30.1,38.1,0.0,14.9,Banana,Sandy,9.9,7,129,1,High,19.4
22.6,35.2,0.0,18.3,Coffee,Chalky,4.41,0,68,1,Medium,13.3
38.3,42.5,60.0,27.8,Coconut,Silty,4.1,0,295,0,Low,0.0
33.7,37.9,8.0,7.4,Paddy,Peat,2.42,2,212,0,Low,0.0
23.5,49.1,15.0,16.6,Pepper,Clay,8.83,8,401,0,Low,0.0
35.5,61.3,15.0,25.6,Banana,Chalky,5.63,0,152,0,Low,0.0
26.8,58.5,0.0,17.0,Coffee,Loam,5.66,5,133,1,High,11.3
33.9,76.6,2.5,23.1,Banana,Clay,5.57,6,410,1,High,23.2
22.9,53.7,8.0,22.7,Paddy,Chalky,2.44,1,9,0,Low,0.0
29.4,80.3,15.0,23.7,Tea,Silty,4.84,3,183,0,Low,0.0
29.5,67.4,8.0,9.5,Pepper,Peat,7.34,2,242,0,Low,0.0
30.7,78.0,0.0,12.3,Rubber,Chalky,9.13,5,133,1,High,11.6
28.8,91.8,2.5,25.9,Coffee,Chalky,1.46,0,110,0,Medium,0.0
33.8,70.6,2.5,17.6,Pepper,Peat,9.26,7,126,1,High,14.6
30.9,71.4,15.0,5.9,Vegetables,Clay,9.29,6,256,0,Low,0.0
22.2,94.1,15.0,8.5,Tea,Clay,3.66,5,54,0,Low,0.0
24.3,71.5,35.0,5.3,Paddy,Sandy,8.13,4,153,0,Low,0.0
26.3,58.9,0.0,24.7,Vegetables,Sandy,4.92,1,346,1,Medium,18.8
24.3,62.1,0.0,10.0,Paddy,Silty,4.48,7,160,1,Medium,17.4
31.0,72.9,2.5,9.1,Paddy,Clay,9.63,0,147,1,Medium,17.7
21.6,94.8,0.0,11.2,Coffee,Peat,4.27,2,378,0,Medium,0.0
35.2,56.0,15.0,8.6,Banana,Peat,4.98,7,18,0,Medium,0.0
21.2,81.5,35.0,16.7,Vegetables,Silty,5.07,5,434,0,Low,0.0
22.9,45.9,8.0,5.8,Rubber,Sandy,3.07,1,379,0,Low,0.0
35.2,93.7,60.0,21.2,Banana,Clay,5.74,2,471,0,Low,0.0
23.7,65.3,60.0,6.5,Tea,Peat,2.2,0,91,0,Low,0.0
24.5,41.0,60.0,27.7,Coffee,Chalky,8.39,3,499,0,Low,0.0
32.7,47.3,35.0,11.8,Coconut,Sandy,1.31,6,84,0,Medium,0.0
20.5,45.9,2.5,19.4,Coconut,Sandy,9.15,4,403,1,High,14.3
35.7,56.8,35.0,10.4,Banana,Peat,4.39,8,225,0,Medium,0.0
36.4,48.2,0.0,22.3,Coffee,Clay,8.75,7,58,1,High,17.6
35.2,60.5,0.0,16.3,Paddy,Sandy,6.52,6,200,1,High,23.6
35.9,94.1,0.0,25.6,Coconut,Peat,0.67,1,127,1,Medium,14.5
31.0,51.4,0.0,13.7,Vegetables,Sandy,7.34,4,361,1,High,17.6
25.0,51.0,0.0,18.3,Pepper,Peat,6.82,6,393,1,High,13.7
28.0,58.0,0.0,14.1,Coconut,Silty,9.61,0,306,1,Medium,10.4
34.6,39.1,0.0,10.9,Coffee,Silty,7.33,6,231,1,High,16.3
29.0,74.8,15.0,7.2,Coffee,Clay,3.06,3,466,0,Low,0.0
31.3,38.1,15.0,26.9,Rubber,Sandy,6.42,1,72,0,Low,0.0
21.4,78.7,0.0,20.9,Coffee,Sandy,4.87,2,130,0,Medium,0.0
21.5,35.1,0.0,10.5,Coconut,Silty,3.93,0,444,1,Medium,13.2
33.1,66.3,2.5,17.0,Coffee,Loam,7.46,4,80,1,High,16.6
33.2,86.0,0.0,25.7,Pepper,Loam,9.88,9,46,1,High,14.2
31.2,95.0,0.0,17.6,Coconut,Chalky,1.64,6,136,1,High,10.8
22.2,60.3,8.0,15.4,Vegetables,Silty,8.52,1,442,0,Low,0.0
35.7,37.2,35.0,12.8,Pepper,Silty,5.07,2,292,0,Low,0.0
30.1,61.5,35.0,5.6,Tea,Clay,5.61,5,408,0,Low,0.0
34.0,66.2,8.0,18.8,Vegetables,Sandy,0.73,9,33,0,Low,0.0
20.4,87.5,8.0,13.2,Coffee,Loam,1.17,3,28,0,Low,0.0
34.6,59.1,8.0,15.5,Coffee,Silty,9.85,9,413,0,Medium,0.0
27.9,60.3,8.0,21.6,Paddy,Loam,4.94,7,157,0,Low,0.0
36.2,77.9,8.0,5.0,Paddy,Peat,9.88,8,398,0,Low,0.0
27.3,75.8,2.5,27.0,Banana,Peat,2.96,5,294,1,Medium,19.5
37.9,63.0,8.0,27.7,Tea,Silty,1.12,7,147,0,Low,0.0
35.9,48.8,0.0,16.3,Coconut,Loam,2.18,9,424,1,High,14.7
34.8,56.0,8.0,19.1,Tea,Clay,5.42,3,377,0,Medium,0.0
30.0,50.6,0.0,22.2,Vegetables,Clay,1.96,2,485,1,Medium,16.5
34.2,37.1,2.5,17.9,Coconut,Loam,8.84,2,122,1,High,14.5
36.9,92.3,2.5,4.9,Tea,Clay,5.73,1,471,1,Medium,15.0
20.1,76.7,60.0,15.9,Vegetables,Peat,2.59,4,460,0,Low,0.0
36.2,64.7,60.0,16.4,Rubber,Sandy,5.93,7,353,0,Low,0.0
30.3,86.9,0.0,25.1,Rubber,Silty,8.58,8,268,1,High,13.3
33.3,75.8,35.0,20.8,Pepper,Peat,8.87,9,248,0,Low,0.0
20.6,84.5,0.0,23.7,Banana,Chalky,9.13,1,355,0,Medium,0.0
30.6,80.4,2.5,4.2,Coffee,Peat,6.36,0,232,1,Medium,12.5
24.9,73.0,60.0,23.6,Coffee,Chalky,3.19,6,73,0,Low,0.0
28.2,85.4,2.5,19.2,Vegetables,Peat,1.47,3,403,1,Medium,16.8
21.3,53.1,0.0,22.5,Paddy,Sandy,5.0,5,473,1,High,19.3
36.2,94.4,35.0,27.3,Pepper,Loam,1.74,6,28,0,Low,0.0
20.4,54.4,35.0,23.7,Rubber,Sandy,0.51,1,429,0,Low,0.0
28.9,91.7,0.0,14.8,Tea,Peat,7.09,3,287,1,Medium,10.3
32.9,74.3,0.0,24.8,Vegetables,Silty,0.8,4,302,1,High,15.7
32.1,58.9,0.0,14.6,Rubber,Clay,3.55,5,14,1,High,13.0
23.8,87.1,60.0,12.8,Tea,Silty,5.0,7,59,0,Low,0.0
23.5,87.1,8.0,7.7,Rubber,Chalky,5.54,6,386,0,Low,0.0
35.1,52.7,60.0,26.1,Rubber,Silty,8.07,8,221,0,Medium,0.0
22.2,42.5,2.5,9.9,Paddy,Chalky,2.64,5,116,1,High,18.4
28.2,94.1,0.0,4.3,Coconut,Chalky,4.23,5,31,1,Medium,12.6
34.4,92.2,0.0,5.0,Vegetables,Loam,1.5,0,75,1,Medium,21.9
22.7,64.9,15.0,9.0,Paddy,Sandy,7.87,1,352,0,Low,0.0
29.8,40.3,8.0,6.0,Banana,Silty,3.9,6,193,0,Low,0.0
38.6,47.1,0.0,23.2,Coconut,Sandy,2.09,0,359,1,High,19.5
33.4,36.9,15.0,18.8,Tea,Clay,7.24,7,327,0,Medium,0.0
33.6,83.1,15.0,18.7,Tea,Loam,9.0,3,389,0,Low,0.0
35.5,62.1,0.0,5.0,Pepper,Sandy,4.67,1,11,1,Medium,18.0
23.0,87.3,0.0,11.9,Vegetables,Silty,7.57,6,308,1,Medium,16.6
29.5,68.3,0.0,19.7,Banana,Clay,5.19,9,242,1,Medium,18.7
21.4,36.8,0.0,24.2,Paddy,Chalky,9.63,9,444,1,High,19.4
31.9,79.1,15.0,27.7,Coffee,Sandy,8.74,8,419,0,Low,0.0
20.6,58.7,2.5,25.0,Coconut,Silty,4.51,9,242,1,High,12.4
37.3,47.6,8.0,15.2,Banana,Clay,1.75,7,99,0,Medium,0.0
37.3,45.8,2.5,12.9,Coconut,Peat,8.62,8,317,1,High,14.4
27.7,70.6,35.0,12.6,Coconut,Chalky,6.7,8,27,0,Low,0.0
24.9,74.4,35.0,18.1,Pepper,Silty,9.71,9,194,0,Low,0.0
28.4,54.9,8.0,12.1,Vegetables,Clay,4.59,3,263,0,Low,0.0
31.7,77.4,60.0,12.6,Pepper,Clay,6.25,4,203,0,Low,0.0
29.0,85.7,2.5,14.7,Tea,Chalky,2.46,3,369,1,Medium,13.9
22.3,48.9,0.0,4.9,Tea,Loam,4.8,4,58,1,High,11.3
29.6,37.5,0.0,13.5,Coconut,Loam,0.55,1,216,1,Medium,12.6
36.5,62.3,35.0,16.5,Tea,Silty,5.56,6,383,0,Low,0.0
22.5,43.6,0.0,8.8,Tea,Sandy,2.29,6,263,1,High,13.6
24.5,92.8,35.0,20.6,Tea,Sandy,4.06,1,465,0,Low,0.0
31.7,87.1,60.0,22.4,Rubber,Clay,7.05,0,0,0,Low,0.0
24.1,74.5,8.0,20.0,Paddy,Sandy,3.81,1,497,0,Low,0.0
31.5,54.1,0.0,13.8,Coffee,Peat,7.93,8,458,1,High,13.5
27.7,54.6,15.0,14.5,Coconut,Sandy,8.84,6,338,0,Low,0.0
36.5,57.5,15.0,17.1,Paddy,Peat,3.58,9,198,0,Medium,0.0
30.7,57.8,8.0,14.8,Paddy,Clay,4.72,5,473,0,Medium,0.0
31.2,45.1,15.0,18.9,Vegetables,Clay,4.11,9,327,0,Medium,0.0
29.9,63.8,8.0,23.5,Paddy,Silty,1.92,4,462,0,Low,0.0
30.1,71.5,60.0,17.2,Vegetables,Sandy,7.3,4,406,0,Low,0.0
28.2,88.8,8.0,25.6,Paddy,Silty,9.31,3,276,0,Low,0.0
29.1,46.7,15.0,15.7,Coffee,Peat,3.21,2,135,0,Low,0.0
25.9,71.6,0.0,13.6,Banana,Silty,8.32,6,350,1,Medium,19.4
35.2,46.1,35.0,6.6,Coconut,Peat,2.94,3,83,0,Medium,0.0
29.2,83.4,0.0,13.0,Banana,Sandy,1.57,6,405,1,Medium,22.3
36.8,48.7,0.0,19.5,Coffee,Sandy,3.93,9,71,1,High,20.1
30.6,50.3,2.5,10.6,Rubber,Silty,4.53,9,344,1,High,10.4
31.9,62.1,0.0,7.7,Paddy,Loam,8.76,0,118,1,Medium,18.1
23.4,53.7,0.0,18.6,Coffee,Loam,2.7,8,253,1,High,10.6
25.2,70.8,0.0,13.7,Vegetables,Peat,7.32,0,458,0,Medium,0.0
38.8,42.7,0.0,18.5,Vegetables,Sandy,9.1,3,231,1,High,23.6
31.3,59.1,0.0,9.4,Paddy,Silty,4.7,1,443,1,High,19.2
24.4,67.4,15.0,18.2,Rubber,Chalky,2.69,9,258,0,Low,0.0
23.6,38.1,2.5,19.9,Paddy,Loam,7.44,3,263,1,High,18.3
21.7,92.7,8.0,20.6,Paddy,Sandy,1.42,8,54,0,Low,0.0
34.4,55.9,2.5,27.5,Rubber,Chalky,2.73,2,103,1,High,14.1
34.0,81.1,0.0,24.2,Banana,Silty,6.42,1,455,1,Medium,23.0
22.4,84.6,15.0,7.8,Banana,Chalky,1.62,6,113,0,Low,0.0
26.5,57.9,0.0,26.5,Paddy,Clay,3.4,3,189,1,High,17.8
31.4,65.9,0.0,22.9,Tea,Chalky,5.88,3,489,1,High,12.0
27.5,67.4,8.0,13.1,Coffee,Sandy,8.75,5,66,0,Low,0.0
35.0,53.3,0.0,11.7,Rubber,Sandy,1.96,2,465,1,High,20.8
30.9,91.0,0.0,7.2,Vegetables,Clay,9.27,0,109,1,Medium,17.6
35.8,54.1,0.0,13.6,Paddy,Peat,3.99,7,404,1,High,20.1
22.6,92.8,2.5,22.6,Coffee,Silty,3.46,3,145,1,Medium,11.1
36.2,35.0,0.0,18.9,Pepper,Loam,4.17,4,466,1,High,14.8
24.0,64.1,0.0,5.4,Coffee,Clay,4.59,8,98,1,Medium,10.3
34.9,50.9,35.0,20.6,Pepper,Clay,5.34,6,39,0,Medium,0.0
35.5,71.9,2.5,8.2,Pepper,Silty,8.56,1,62,1,Medium,17.2
27.7,74.2,0.0,12.8,Pepper,Chalky,8.36,4,85,1,Medium,13.9
24.7,43.0,8.0,4.5,Tea,Peat,7.72,9,375,0,Low,0.0
30.2,47.9,8.0,24.0,Banana,Peat,2.39,4,172,0,Medium,0.0
20.8,57.3,0.0,17.2,Tea,Peat,8.52,6,116,1,High,12.0
22.9,54.5,2.5,19.6,Rubber,Clay,6.33,5,41,1,High,13.1
36.9,92.3,0.0,19.8,Paddy,Clay,8.18,0,9,1,Medium,23.7
24.8,81.9,2.5,19.3,Coconut,Loam,4.78,0,78,0,Medium,0.0
36.9,62.0,8.0,7.6,Coffee,Silty,5.37,4,7,0,Low,0.0
20.8,40.1,0.0,19.8,Rubber,Loam,0.62,4,147,1,High,13.0
26.7,52.8,0.0,27.3,Rubber,Loam,2.26,9,260,1,High,12.2
35.8,39.1,0.0,4.5,Coffee,Silty,9.04,7,255,1,High,14.9
38.5,75.0,0.0,6.9,Vegetables,Silty,7.86,8,216,1,High,20.1
20.8,93.1,8.0,7.0,Rubber,Sandy,6.22,4,159,0,Low,0.0
34.2,83.7,2.5,7.8,Coconut,Clay,9.32,6,456,1,High,15.5
28.2,61.4,0.0,7.9,Pepper,Chalky,9.32,2,173,0,Medium,0.0
20.2,94.5,0.0,23.6,Tea,Clay,2.96,1,148,0,Medium,0.0
34.3,62.6,60.0,22.0,Vegetables,Silty,1.01,5,149,0,Low,0.0
38.7,91.2,8.0,21.5,Coconut,Peat,7.01,3,282,0,Low,0.0
38.3,64.3,35.0,24.2,Banana,Chalky,5.65,0,183,0,Low,0.0
31.6,41.4,35.0,20.5,Tea,Silty,6.54,4,110,0,Medium,0.0
23.1,68.5,60.0,9.9,Banana,Loam,9.92,7,482,0,Low,0.0
27.6,83.0,0.0,11.5,Banana,Chalky,6.35,1,424,0,Medium,0.0
27.1,67.3,2.5,4.1,Coconut,Sandy,0.84,0,461,0,Medium,0.0
23.8,92.5,0.0,20.3,Coffee,Loam,8.5,5,311,1,Medium,12.0
22.4,58.1,2.5,21.3,Coffee,Chalky,6.13,4,229,1,High,11.7
33.2,35.2,15.0,8.0,Pepper,Clay,4.18,0,118,0,Low,0.0
36.6,65.6,0.0,5.6,Coffee,Sandy,5.83,3,375,1,High,19.4
32.9,83.3,35.0,4.6,Rubber,Clay,6.55,2,405,0,Low,0.0
33.2,79.8,0.0,21.0,Tea,Silty,5.41,3,349,1,High,15.3
28.2,40.3,2.5,5.5,Pepper,Loam,7.78,8,117,1,High,12.6
28.0,73.2,60.0,8.3,Tea,Chalky,9.92,6,136,0,Low,0.0
38.1,47.2,2.5,12.7,Coconut,Loam,0.75,0,349,1,High,17.3
25.2,66.1,8.0,22.8,Rubber,Sandy,8.6,9,498,0,Low,0.0
27.2,62.7,2.5,23.3,Coconut,Peat,7.21,9,259,1,Medium,10.2
37.2,89.6,60.0,21.5,Vegetables,Clay,2.01,8,30,0,Low,0.0
37.5,63.3,8.0,5.7,Pepper,Sandy,3.18,6,162,0,Low,0.0
25.2,82.2,0.0,10.5,Vegetables,Sandy,8.53,5,43,1,Medium,17.6
36.2,37.8,0.0,25.8,Paddy,Peat,5.56,0,474,1,High,21.4
37.1,36.3,60.0,17.2,Coffee,Peat,1.0,7,383,0,Medium,0.0
31.9,64.7,8.0,10.2,Rubber,Sandy,2.32,0,402,0,Low,0.0
25.9,91.8,2.5,12.4,Paddy,Clay,1.94,3,382,1,Medium,17.0
36.2,68.7,0.0,27.5,Banana,Sandy,4.34,8,422,1,High,25.8
30.3,39.9,15.0,24.3,Coconut,Peat,1.84,5,111,0,Medium,0.0
24.1,40.9,60.0,13.9,Banana,Chalky,3.26,7,293,0,Low,0.0
35.3,62.6,60.0,23.1,Paddy,Peat,2.06,3,365,0,Low,0.0
34.3,36.1,60.0,25.1,Vegetables,Silty,8.77,8,167,0,Medium,0.0
38.7,81.3,35.0,17.3,Coffee,Chalky,3.76,0,41,0,Low,0.0
29.5,41.3,2.5,14.8,Rubber,Sandy,1.39,4,306,1,High,13.8
23.5,40.6,2.5,23.0,Pepper,Peat,6.53,6,392,1,High,11.6
37.4,67.0,0.0,14.7,Vegetables,Silty,2.08,2,364,1,Medium,21.6
25.3,94.0,0.0,18.4,Tea,Peat,7.46,4,259,1,Medium,13.2
38.4,86.4,0.0,23.3,Vegetables,Clay,4.47,6,20,1,High,20.9
26.1,94.8,0.0,14.3,Tea,Loam,7.03,2,352,0,Medium,0.0
20.6,84.4,0.0,5.9,Banana,Loam,2.28,8,371,1,Medium,19.7
22.1,80.6,0.0,15.3,Tea,Silty,4.86,4,215,1,Medium,12.0
35.7,55.1,0.0,9.9,Pepper,Sandy,1.46,4,162,1,High,17.6
26.6,62.0,0.0,18.7,Tea,Chalky,7.51,2,288,0,Medium,0.0
22.4,75.6,0.0,11.6,Coffee,Silty,6.98,5,200,1,Medium,12.6
38.8,39.4,60.0,19.4,Pepper,Sandy,5.37,5,142,0,Medium,0.0
24.0,37.0,8.0,13.8,Pepper,Chalky,9.08,0,38,0,Low,0.0
35.3,38.5,35.0,10.2,Paddy,Chalky,6.87,6,442,0,Medium,0.0
22.1,61.8,15.0,9.4,Banana,Chalky,4.11,3,368,0,Low,0.0
20.8,79.4,0.0,27.2,Vegetables,Clay,3.28,2,386,0,Medium,0.0
34.3,83.3,2.5,27.6,Vegetables,Clay,3.4,6,120,1,High,19.1
36.6,41.8,15.0,6.9,Pepper,Clay,2.8,0,375,0,Low,0.0
25.4,84.5,8.0,11.1,Rubber,Chalky,7.56,3,67,0,Low,0.0
36.7,87.6,8.0,18.2,Paddy,Peat,8.46,2,266,0,Low,0.0
38.9,86.3,35.0,19.8,Coffee,Silty,2.59,0,200,0,Low,0.0
37.3,75.2,0.0,5.6,Coffee,Clay,0.74,6,430,1,High,14.3
37.3,62.9,35.0,18.4,Coconut,Silty,4.71,7,20,0,Low,0.0
32.0,70.5,8.0,19.4,Tea,Silty,1.49,5,75,0,Low,0.0
29.3,74.1,0.0,10.5,Rubber,Clay,5.31,6,421,1,Medium,10.3
24.8,56.7,2.5,18.5,Rubber,Loam,3.13,0,440,1,Medium,11.3
29.2,46.8,0.0,14.7,Pepper,Clay,5.41,5,48,1,High,10.0
24.2,37.2,2.5,10.8,Tea,Peat,4.67,9,362,1,High,10.2
25.3,84.0,0.0,18.8,Coffee,Peat,3.78,6,182,1,Medium,13.5
29.4,77.1,0.0,14.8,Tea,Chalky,2.07,7,107,1,Medium,12.9
36.8,75.3,8.0,18.6,Coffee,Clay,8.33,6,475,0,Low,0.0
35.6,35.1,0.0,4.1,Vegetables,Peat,8.38,0,174,1,High,21.5
24.9,74.9,0.0,14.9,Coconut,Peat,1.65,7,83,1,Medium,13.6
27.7,54.3,0.0,26.6,Tea,Peat,6.95,1,306,1,Medium,12.4
20.2,73.2,15.0,6.8,Tea,Silty,2.13,5,154,0,Low,0.0
34.1,66.8,0.0,16.8,Coffee,Sandy,0.61,2,234,1,Medium,18.9
31.0,37.6,8.0,23.4,Tea,Clay,7.43,8,293,0,Medium,0.0
36.1,76.5,0.0,13.7,Banana,Clay,3.41,9,29,1,High,21.8
35.2,84.3,2.5,17.9,Paddy,Loam,6.03,9,312,1,High,20.1
27.5,66.5,0.0,8.0,Banana,Silty,0.93,0,192,0,Medium,0.0
38.0,55.4,0.0,19.5,Pepper,Loam,3.74,0,368,1,High,16.7
31.5,56.9,2.5,17.9,Vegetables,Clay,1.5,0,364,1,High,17.9
24.3,93.6,0.0,27.1,Pepper,Sandy,0.87,5,362,1,Medium,14.6
23.0,36.4,0.0,7.5,Banana,Chalky,1.74,9,124,1,High,17.5
27.1,63.4,15.0,18.5,Pepper,Clay,9.85,3,400,0,Low,0.0
27.3,55.4,2.5,27.5,Paddy,Clay,5.56,5,308,1,High,19.3
28.4,53.1,60.0,21.0,Coconut,Clay,5.32,4,299,0,Low,0.0
